 ,Label,Area,Mean,StdDev,Min,Max,BX,BY,Width,Height
104,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0090-0670,400,7.862,1.775,3,12,660,80,20,20
105,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0090-0690,400,7.325,1.932,3,12,680,80,20,20
106,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0090-0710,400,7.758,1.906,3,14,700,80,20,20
107,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0090-0730,400,6.580,2.031,1,14,720,80,20,20
108,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0090-0750,400,7.835,1.685,4,12,740,80,20,20
109,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0090-0770,400,8.280,1.729,4,12,760,80,20,20
110,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0090-0790,400,7.060,2.074,3,14,780,80,20,20
111,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0090-0810,400,7.205,2.224,2,12,800,80,20,20
112,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0090-0830,400,6.865,1.683,3,12,820,80,20,20
113,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0090-0850,400,6.965,2.151,2,13,840,80,20,20
114,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0090-0870,400,8.408,2.003,4,14,860,80,20,20
